settlement_id,vendor_name,amount,txn_date,reference_id,description
CLN-STL-001,HDFC Bank Ltd,12450.00,2026-03-01,RZP10001,Order settlement RZP10001
CLN-STL-002,TCS,34200.50,2026-03-03,RZP10002,Order settlement RZP10002
CLN-STL-003,Infosys Ltd,8900.00,2026-03-03,RZP10003,Order settlement RZP10003
CLN-STL-004,Reliance Ind Ltd,154200.00,2026-03-05,RZP10004,Order settlement RZP10004
CLN-STL-005,ICICI Bank Ltd,4560.75,2026-03-05,RZP10005,Order settlement RZP10005
CLN-STL-006,Bharti Airtel Ltd,67800.00,2026-03-02,RZP10006,Order settlement RZP10006
CLN-STL-007,L&T Ltd,92100.00,2026-03-02,RZP10007,Order settlement RZP10007
CLN-STL-008,Wipro Ltd,18500.25,2026-03-04,RZP10008,Order settlement RZP10008
CLN-STL-009,M&M Ltd,54300.00,2026-03-04,RZP10009,Order settlement RZP10009
CLN-STL-010,Zomato Ltd,12900.00,2026-03-06,RZP10010,Order settlement RZP10010
CLN-STL-011,Swiggy Pvt Ltd,78500.00,2026-03-01,RZP10011,Order settlement RZP10011
CLN-STL-012,Nykaa Pvt Ltd,23400.00,2026-03-03,RZP10012,Order settlement RZP10012
CLN-STL-013,Flipkart Pvt Ltd,112000.00,2026-03-03,RZP10013,Order settlement RZP10013
CLN-STL-014,BigBasket Pvt Ltd,19800.50,2026-03-05,RZP10014,Order settlement RZP10014
CLN-STL-015,PhonePe Pvt Ltd,43100.00,2026-03-05,RZP10015,Order settlement RZP10015
CLN-STL-016,Ola Cabs Pvt Ltd,31200.00,2026-03-02,RZP10016,Order settlement RZP10016
CLN-STL-017,Urban Company Pvt Ltd,87400.00,2026-03-02,RZP10017,Order settlement RZP10017
CLN-STL-018,Cred Pvt Ltd,65000.00,2026-03-04,RZP10018,Order settlement RZP10018
CLN-STL-019,Meesho Pvt Ltd,27900.00,2026-03-04,RZP10019,Order settlement RZP10019
CLN-STL-020,Adani Ent Ltd,98200.00,2026-03-06,RZP10020,Order settlement RZP10020
