ledger_public_id,settlement_public_id,abs_amount_diff,relative_amount_diff,amount_ratio,date_diff_days,vendor_levenshtein_similarity,vendor_jaro_winkler_similarity,vendor_token_sort_similarity,vendor_token_set_similarity,vendor_exact_normalized_match,vendor_embedding_cosine_similarity,reference_exact_match,reference_substring_overlap,reference_similarity,reference_missing_ledger,reference_missing_settlement,reference_both_missing,candidate_count_for_ledger,candidate_count_for_settlement,competing_candidate_count,is_potential_one_to_many,is_potential_many_to_one,description_embedding_cosine_similarity
LED-000000,STL-000000-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.189525
LED-000001,STL-000001-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.321288
LED-000002,STL-000002-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,2,1,1,1,0,0.559085
LED-000002,STL-000071-1,5271.54,0.034913,0.965087,4,0.238095,0.604978,0.285714,0.285714,0,0.0,0,0,0.0,0,1,0,2,4,4,1,1,0.075485
LED-000003,STL-000003-0,0.0,0.0,1.0,0,0.971429,0.977124,0.914286,1.0,0,0.909241,1,1,1.0,0,0,0,2,1,1,1,0,0.332182
LED-000003,STL-000057-0,1115.06,0.004527,0.995473,2,0.266667,0.492911,0.266667,0.285714,0,0.1283,0,0,0.230769,0,0,0,2,2,2,1,1,0.20261
LED-000004,STL-000004-0,24.59,0.0006,0.9994,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,3,1,2,1,0,0.218844
LED-000004,STL-000237-0,370.03,0.00903,1.00903,6,0.222222,0.517949,0.222222,0.222222,0,0.0,0,0,0.230769,0,0,0,3,3,4,1,1,0.113715
LED-000004,STL-000470-0,114.93,0.002805,0.997195,6,0.222222,0.517949,0.222222,0.222222,0,0.0,0,0,0.307692,0,0,0,3,3,4,1,1,0.306382
LED-000005,STL-000005-0,0.1,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,2,3,3,1,1,0.188562
LED-000005,STL-000339-0,10164.24,0.046389,1.046389,1,1.0,1.0,1.0,1.0,1,1.0,0,0,0.230769,0,0,0,2,3,3,1,1,0.707107
LED-000006,STL-000006-0,0.26,1e-06,0.999999,0,0.8,0.94,0.8,0.8,0,0.0,1,1,1.0,0,0,0,1,1,0,0,0,0.534523
LED-000007,STL-000007-0,0.25,1e-06,0.999999,0,0.666667,0.9,0.666667,1.0,0,0.707107,1,1,1.0,0,0,0,1,1,0,0,0,0.283654
LED-000008,STL-000008-0,6.94,3.6e-05,0.999964,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,2,2,1,1,0.381
LED-000008,STL-000431-0,315.26,0.001655,1.001655,6,0.228571,0.382716,0.285714,0.285714,0,0.0,0,0,0.230769,0,0,0,2,4,4,1,1,0.211667
LED-000009,STL-000009-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0,1,0,1,1,0,0,0,0.308021
LED-000010,STL-000313-0,4296.18,0.018149,0.981851,0,0.301887,0.444989,0.264151,0.227273,0,0.0,0,0,0.230769,0,0,0,2,5,5,1,1,0.126773
LED-000010,STL-000264-0,1535.5,0.006487,0.993513,1,0.27451,0.505556,0.313725,0.313725,0,0.0,0,0,0.230769,0,0,0,2,5,5,1,1,0.742308
LED-000011,STL-000011-0,11.23,0.00037,0.99963,0,0.64,0.894118,0.64,1.0,0,0.632456,1,1,1.0,0,0,0,1,1,0,0,0,0.280224
LED-000012,STL-000176-2,447.96,0.008345,0.991655,0,0.181818,0.527778,0.272727,0.272727,0,-0.060634,0,0,0.230769,0,0,0,2,1,1,1,0,0.191273
LED-000012,STL-000012-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,1,1,1,0,0.910642
LED-000013,STL-000013-0,18.08,0.001182,0.998818,0,0.875,0.955556,0.875,0.875,0,0.676123,0,0,0.0,0,1,0,1,1,0,0,0,0.313545
LED-000014,STL-000014-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0,1,0,2,3,3,1,1,0.879883
LED-000014,STL-000257-0,5497.04,0.026298,0.973702,3,0.235294,0.505556,0.235294,0.235294,0,-0.182574,0,0,0.0,0,1,0,2,2,2,1,1,0.120483
LED-000015,STL-000015-0,0.37,2e-06,0.999998,0,0.631579,0.892308,0.368421,0.368421,0,0.558156,0,1,0.461538,0,0,0,1,4,3,0,1,0.410305
LED-000016,STL-000016-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,1,1,1,0,0.28691
LED-000016,STL-000187-0,285.31,0.014148,0.985852,5,0.266667,0.345238,0.266667,0.307692,0,0.0,0,0,0.230769,0,0,0,2,2,2,1,1,0.036811
LED-000017,STL-000017-0,297.93,0.005821,0.994179,2,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0,1,0,1,1,0,0,0,0.841625
LED-000018,STL-000018-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,1,1,1,0,0.188562
LED-000018,STL-000288-0,1962.88,0.029557,0.970443,5,0.266667,0.511905,0.133333,0.133333,0,0.182574,0,0,0.230769,0,0,0,2,2,2,1,1,0.040825
LED-000019,STL-000019-0,0.0,0.0,1.0,0,0.875,0.955556,0.875,0.875,0,0.676123,1,1,1.0,0,0,0,2,3,3,1,1,0.301511
LED-000019,STL-000113-0,668.85,0.002849,1.002849,5,0.222222,0.51358,0.166667,0.166667,0,0.0,0,0,0.230769,0,0,0,2,3,3,1,1,0.150756
LED-000020,STL-000548-0,227.87,0.009817,0.990183,0,0.263158,0.572991,0.315789,0.315789,0,0.0,0,0,0.230769,0,0,0,1,3,2,0,1,0.138675
LED-000021,STL-000021-0,22.48,0.002456,0.997544,0,0.444444,0.857143,0.259259,0.259259,0,0.439155,0,1,0.461538,0,0,0,1,1,0,0,0,0.233126
LED-000023,STL-000023-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,2,1,0,1,0.565725
LED-000024,STL-000024-0,0.29,1e-06,1.000001,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,3,3,4,1,1,0.910642
LED-000024,STL-000096-0,7513.36,0.034767,0.965233,1,0.24,0.495098,0.16,0.16,0,0.0,0,0,0.230769,0,0,0,3,3,4,1,1,0.477119
LED-000024,STL-000371-0,9458.38,0.043767,0.956233,4,0.086957,0.408497,0.086957,0.086957,0,0.0,0,0,0.230769,0,0,0,3,4,5,1,1,0.477119
LED-000025,STL-000025-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,2,1,0,1,0.320256
LED-000026,STL-000026-0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,2,1,0,1,0.189934
LED-000027,STL-000027-0,4064.67,0.024444,0.975556,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0,1,0,1,3,2,0,1,0.571772
LED-000028,STL-000028-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,2,1,1,1,0,0.185312
LED-000028,STL-000555-0,1551.65,0.012135,1.012135,3,0.315789,0.589744,0.315789,0.315789,0,-0.066667,0,0,0.230769,0,0,0,2,2,2,1,1,0.742308
LED-000029,STL-000595-0,5847.17,0.038248,1.038248,1,0.186047,0.477513,0.139535,0.139535,0,0.0,0,0,0.230769,0,0,0,2,3,3,1,1,0.127
LED-000029,STL-000029-0,2868.32,0.018762,0.981238,2,0.972222,0.994444,0.972222,0.972222,0,0.894838,1,1,1.0,0,0,0,2,3,3,1,1,0.296334
LED-000030,STL-000030-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,2,1,1,1,0,0.136399
LED-000030,STL-000409-1,1210.17,0.027444,1.027444,2,0.125,0.324691,0.125,0.125,0,0.0,0,0,0.230769,0,0,0,2,1,1,1,0,0.035944
LED-000031,STL-000031-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,4,3,5,1,1,0.258199
LED-000031,STL-000286-0,3376.12,0.03162,0.96838,2,0.380952,0.603205,0.380952,0.380952,0,0.0,0,0,0.307692,0,0,0,4,5,7,1,1,0.043033
LED-000031,STL-000421-0,4198.03,0.039318,0.960682,3,0.235294,0.458333,0.235294,0.235294,0,0.0,0,0,0.307692,0,0,0,4,5,7,1,1,0.533114
LED-000031,STL-000493-0,4832.83,0.045263,1.045263,6,0.25,0.472222,0.375,0.375,0,0.0,0,0,0.0,0,1,0,4,3,5,1,1,0.149071
LED-000033,STL-000033-0,4786.86,0.02116,0.97884,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,4,4,1,1,0.255841
LED-000033,STL-000274-0,3348.22,0.0148,0.9852,1,0.2,0.493333,0.2,0.2,0,0.0,0,0,0.230769,0,0,0,2,4,4,1,1,0.08528
LED-000034,STL-000172-0,3760.26,0.018802,0.981198,1,0.322581,0.559942,0.322581,0.322581,0,0.153393,0,0,0.230769,0,0,0,6,5,9,1,1,0.20261
LED-000034,STL-000574-0,2143.54,0.010718,1.010718,1,0.210526,0.448413,0.210526,0.210526,0,0.141421,0,0,0.230769,0,0,0,6,5,9,1,1,0.758098
LED-000034,STL-000034-0,0.0,0.0,1.0,2,0.631579,0.892308,0.368421,0.368421,0,0.558156,1,1,1.0,0,0,0,6,6,10,1,1,0.871813
LED-000034,STL-000064-0,6028.18,0.030141,0.969859,2,0.344828,0.562092,0.344828,0.3,0,0.0,0,0,0.230769,0,0,0,6,6,10,1,1,0.113715
LED-000034,STL-000394-0,173.13,0.000866,0.999134,3,0.111111,0.416667,0.111111,0.111111,0,0.0,0,0,0.230769,0,0,0,6,6,10,1,1,0.162088
LED-000034,STL-000174-0,6055.49,0.030278,0.969722,4,0.3,0.444444,0.3,0.3,0,0.129099,0,0,0.230769,0,0,0,6,8,12,1,1,0.131306
LED-000036,STL-000036-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,3,1,2,1,0,0.169334
LED-000036,STL-000116-0,1087.51,0.017213,0.982787,4,0.133333,0.422619,0.133333,0.133333,0,0.0,0,0,0.230769,0,0,0,3,3,4,1,1,0.769897
LED-000036,STL-000531-0,564.09,0.008928,1.008928,5,0.166667,0.0,0.166667,0.166667,0,0.0,0,0,0.230769,0,0,0,3,4,5,1,1,0.254
LED-000037,STL-000037-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.213201
LED-000038,STL-000033-0,10795.43,0.046485,0.953515,2,0.363636,0.580891,0.409091,0.409091,0,0.048507,0,0,0.230769,0,0,0,2,4,4,1,1,0.792825
LED-000038,STL-000274-0,9356.79,0.040291,0.959709,3,0.166667,0.335088,0.166667,0.166667,0,0.0,0,0,0.230769,0,0,0,2,4,4,1,1,0.14415
LED-000039,STL-000039-0,22.49,0.000115,0.999885,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,3,3,1,1,0.22225
LED-000039,STL-000163-0,2386.08,0.012193,0.987807,4,0.307692,0.538955,0.269231,0.269231,0,-0.091003,0,0,0.230769,0,0,0,2,5,5,1,1,0.092406
LED-000040,STL-000040-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,2,1,0,1,0.192879
LED-000041,STL-000041-0,20.46,0.000335,0.999665,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,2,1,0,1,0.852803
LED-000042,STL-000042-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,6,3,7,1,1,0.311805
LED-000042,STL-000089-0,5107.75,0.02155,1.02155,0,0.285714,0.527778,0.285714,0.285714,0,0.0,0,0,0.230769,0,0,0,6,3,7,1,1,0.453743
LED-000042,STL-000581-0,5539.91,0.023373,0.976627,3,0.142857,0.430556,0.285714,0.285714,0,0.0,0,0,0.230769,0,0,0,6,3,7,1,1,0.178174
LED-000042,STL-000335-0,7133.05,0.030094,1.030094,4,0.285714,0.572222,0.357143,0.545455,0,0.096225,0,0,0.230769,0,0,0,6,4,8,1,1,0.192879
LED-000042,STL-000204-0,5105.48,0.02154,1.02154,5,0.153846,0.0,0.153846,0.153846,0,0.0,0,0,0.0,0,1,0,6,5,9,1,1,0.486153
LED-000042,STL-000139-0,7829.44,0.033032,0.966968,7,0.380952,0.603205,0.380952,0.380952,0,0.0,0,0,0.230769,0,0,0,6,5,9,1,1,0.044544
LED-000043,STL-000110-0,27.31,0.000296,0.999704,0,0.258065,0.82963,0.258065,1.0,0,0.294884,0,0,0.230769,0,0,0,1,2,1,0,1,0.164122
LED-000044,STL-000044-0,0.0,0.0,1.0,0,0.631579,0.574786,0.631579,1.0,0,0.603023,1,1,1.0,0,0,0,2,2,2,1,1,0.141421
LED-000044,STL-000296-0,2165.66,0.045112,0.954888,7,0.367347,0.626327,0.326531,0.326531,0,0.0,0,0,0.307692,0,0,0,2,2,2,1,1,0.754247
LED-000045,STL-000045-0,1074.65,0.007764,0.992236,2,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0,1,0,1,2,1,0,1,0.835504
LED-000046,STL-000046-0,0.12,1e-06,0.999999,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,1,1,1,0,0.136083
LED-000046,STL-000427-0,4157.21,0.041462,1.041462,1,0.125,0.417989,0.25,0.25,0,0.0,0,0,0.230769,0,0,0,2,2,2,1,1,0.117851
LED-000047,STL-000460-0,423.62,0.00445,1.00445,1,0.235294,0.458333,0.235294,0.235294,0,0.0,0,0,0.230769,0,0,0,2,3,3,1,1,0.041703
LED-000047,STL-000047-0,0.0,0.0,1.0,4,0.285714,0.572222,0.357143,0.545455,0,0.096225,1,1,1.0,0,0,0,2,2,2,1,1,0.166667
LED-000048,STL-000048-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,3,1,2,1,0,0.866025
LED-000048,STL-000158-0,4989.05,0.036135,1.036135,4,0.307692,0.529915,0.307692,0.307692,0,0.0,0,0,0.230769,0,0,0,3,5,6,1,1,0.169031
LED-000048,STL-000051-0,6060.05,0.043893,1.043893,5,0.333333,0.629462,0.4,0.4,0,0.0,0,0,0.230769,0,0,0,3,4,5,1,1,0.231455
LED-000049,STL-000049-0,2513.21,0.023627,0.976373,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,5,2,5,1,1,0.866025
LED-000049,STL-000031-0,400.21,0.003762,1.003762,1,0.380952,0.603205,0.380952,0.380952,0,0.0,0,0,0.230769,0,0,0,5,3,6,1,1,0.133631
LED-000049,STL-000286-0,2975.91,0.027977,0.972023,3,1.0,1.0,1.0,1.0,1,1.0,0,0,0.230769,0,0,0,5,5,8,1,1,0.133631
LED-000049,STL-000421-0,3797.82,0.035704,0.964296,4,0.363636,0.580057,0.363636,0.363636,0,0.0,0,0,0.230769,0,0,0,5,5,8,1,1,0.459854
LED-000049,STL-000493-0,5233.04,0.049196,1.049196,7,0.190476,0.467949,0.190476,0.190476,0,0.0,0,0,0.0,0,1,0,5,3,6,1,1,0.231455
LED-000050,STL-000141-0,10733.38,0.045543,1.045543,5,0.125,0.422222,0.125,0.125,0,0.0,0,0,0.230769,0,0,0,1,2,1,0,1,0.235702
LED-000051,STL-000158-0,1071.0,0.007431,0.992569,0,0.333333,0.493715,0.333333,0.333333,0,-0.07785,0,0,0.230769,0,0,0,2,5,5,1,1,-0.089443
LED-000051,STL-000051-0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,2,4,4,1,1,0.285774
LED-000052,STL-000052-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,3,1,2,1,0,0.311286
LED-000052,STL-000205-0,2968.51,0.03596,0.96404,1,0.3,0.456383,0.3,0.3,0,-0.188608,0,0,0.230769,0,0,0,3,2,3,1,1,0.062257
LED-000052,STL-000409-0,1259.76,0.01526,1.01526,4,0.3,0.456383,0.3,0.3,0,-0.188608,0,0,0.230769,0,0,0,3,1,2,1,0,0.836905
LED-000053,STL-000053-0,0.0,0.0,1.0,0,0.631579,0.892308,0.368421,0.368421,0,0.558156,0,0,0.0,0,1,0,3,1,2,1,0,0.848528
LED-000053,STL-000540-0,4066.26,0.035183,1.035183,4,0.242424,0.491758,0.242424,0.242424,0,0.087706,0,0,0.230769,0,0,0,3,5,6,1,1,0.174574
LED-000053,STL-000550-0,810.3,0.007011,0.992989,4,0.307692,0.617949,0.358974,0.358974,0,0.065372,0,0,0.230769,0,0,0,3,3,4,1,1,0.218218
LED-000054,STL-000054-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,5,3,6,1,1,0.296334
LED-000054,STL-000468-0,9410.22,0.047084,1.047084,0,0.216216,0.511376,0.27027,0.27027,0,0.0,0,0,0.230769,0,0,0,5,3,6,1,1,0.169334
LED-000054,STL-000482-0,858.28,0.004294,0.995706,3,0.121212,0.457937,0.121212,0.121212,0,-0.105409,0,0,0.230769,0,0,0,5,4,7,1,1,0.120483
LED-000054,STL-000150-0,1712.46,0.008568,1.008568,5,0.285714,0.497619,0.228571,0.228571,0,0.08165,0,0,0.0,0,1,0,5,4,7,1,1,0.774917
LED-000054,STL-000385-0,971.17,0.004859,1.004859,7,0.125,0.357143,0.125,0.125,0,0.129099,0,0,0.0,0,1,0,5,4,7,1,1,0.76584
LED-000055,STL-000505-0,2102.21,0.020221,0.979779,0,0.410256,0.639335,0.25641,0.25641,0,0.0,0,0,0.230769,0,0,0,2,3,3,1,1,0.124515
LED-000055,STL-000055-0,2341.14,0.02252,0.97748,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,2,3,3,1,1,0.914991
LED-000056,STL-000136-0,3176.95,0.047486,0.952514,0,0.163265,0.465447,0.204082,0.204082,0,0.063758,0,0,0.230769,0,0,0,2,2,2,1,1,0.043644
LED-000056,STL-000541-0,2065.84,0.030878,1.030878,1,0.24,0.517157,0.16,0.16,0,0.0,0,0,0.230769,0,0,0,2,2,2,1,1,0.285774
LED-000057,STL-000057-0,4.0,1.6e-05,0.999984,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,2,1,0,1,0.866025
