ledger_public_id,settlement_public_id,abs_amount_diff,relative_amount_diff,amount_ratio,date_diff_days,vendor_levenshtein_similarity,vendor_jaro_winkler_similarity,vendor_token_sort_similarity,vendor_token_set_similarity,vendor_exact_normalized_match,vendor_embedding_cosine_similarity,reference_exact_match,reference_substring_overlap,reference_similarity,reference_missing_ledger,reference_missing_settlement,reference_both_missing,candidate_count_for_ledger,candidate_count_for_settlement,competing_candidate_count,is_potential_one_to_many,is_potential_many_to_one,description_embedding_cosine_similarity,split,label
LED-000000,STL-000000-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.189525,val,1
LED-000001,STL-000001-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,1,1,0,0,0,0.321288,train,1
LED-000002,STL-000002-0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,3,1,2,1,0,0.559085,train,1
LED-000002,STL-000122-0,6518.64,0.043172,0.956828,2,0.292683,0.510582,0.292683,0.292683,0,0.0,0,0,0.0,0,1,0,3,4,5,1,1,0.037743,train,0
LED-000002,STL-000029-0,1885.85,0.01249,1.01249,7,0.4,0.635022,0.44,0.6,0,0.412514,0,0,0.230769,0,0,0,3,2,3,1,1,0.130744,train,0
LED-000003,STL-000003-0,0.0,0.0,1.0,0,0.971429,0.977124,0.914286,1.0,0,0.909241,1,1,1.0,0,0,0,2,1,1,1,0,0.332182,val,1
LED-000004,STL-000004-0,24.59,0.0006,0.9994,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0,0,0,4,1,3,1,0,0.218844,train,1
LED-000005,STL-000005-0,0.1,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0,0,0,2,3,3,1,1,0.188562,val,1
LED-000006,STL-000006-0,0.26,1e-06,0.999999,0,0.8,0.94,0.8,0.8,0,0.0,1,1,1.0,0,0,0,1,1,0,0,0,0.534523,train,1
LED-000007,STL-000007-0,0.25,1e-06,0.999999,0,0.666667,0.9,0.666667,1.0,0,0.707107,1,1,1.0,0,0,0,1,1,0,0,0,0.283654,test,1
