ledger_public_id,settlement_public_id,group_size,relationship_type_candidate,is_potential_one_to_many,is_potential_many_to_one,abs_amount_diff,relative_amount_diff,amount_ratio,date_diff_days,vendor_levenshtein_similarity,vendor_jaro_winkler_similarity,vendor_token_sort_similarity,vendor_token_set_similarity,vendor_exact_normalized_match,vendor_embedding_cosine_similarity,reference_exact_match,reference_substring_overlap,reference_similarity,description_embedding_cosine_similarity,reference_missing_ledger,reference_missing_settlement,reference_both_missing,candidate_count_for_ledger,candidate_count_for_settlement,competing_candidate_count
LED-000000,STL-000000-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.189525,0,0,0,12,5,15
LED-000001,STL-000001-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.321288,0,0,0,20,55,73
LED-000002,STL-000002-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.559085,0,0,0,40,14,52
LED-000002,STL-000122-0,1,one_to_one,0,0,6518.64,0.043172,0.956828,2,0.292683,0.510582,0.292683,0.292683,0,0.0,0,0,0.0,0.037743,0,1,0,40,57,95
LED-000002,STL-000029-0,1,one_to_one,0,0,1885.85,0.01249,1.01249,7,0.4,0.635022,0.44,0.6,0,0.412514,0,0,0.230769,0.130744,0,0,0,40,54,92
LED-000003,STL-000003-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.971429,0.977124,0.914286,1.0,0,0.909241,1,1,1.0,0.332182,0,0,0,7,14,19
LED-000003,STL-000057-0,1,one_to_one,0,0,6632.77,0.026929,0.973071,2,0.266667,0.492911,0.266667,0.285714,0,0.1283,0,0,0.230769,0.185695,0,0,0,7,18,23
LED-000004,STL-000004-0,1,one_to_one,0,0,24.59,0.0006,0.9994,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.218844,0,0,0,24,29,51
LED-000004,STL-000097-0,1,one_to_one,0,0,1135.76,0.027718,1.027718,2,0.153846,0.0,0.153846,0.153846,0,0.0,0,0,0.230769,0.131306,0,0,0,24,17,39
LED-000004,STL-000470-0,1,one_to_one,0,0,115.02,0.002807,0.997193,6,0.0,0.0,0.0,0.0,0,0.0,0,0,0.307692,0.306382,0,0,0,24,27,49
LED-000004,STL-000237-0,1,one_to_one,0,0,67.66,0.001651,0.998349,7,0.0,0.0,0.0,0.0,0,-0.258199,0,0,0.230769,0.175075,0,0,0,24,40,62
LED-000005,STL-000339-0,1,one_to_one,0,0,10180.01,0.046461,1.046461,1,1.0,1.0,1.0,1.0,1,1.0,0,0,0.230769,0.04714,0,0,0,20,7,25
LED-000005,STL-000005-0,1,one_to_one,0,0,0.1,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.188562,0,0,0,20,15,33
LED-000006,STL-000006-0,1,one_to_one,0,0,0.26,1e-06,0.999999,0,0.8,0.94,0.8,0.8,0,0.0,1,1,1.0,0.534523,0,0,0,40,42,80
LED-000007,STL-000007-0,1,one_to_one,0,0,0.25,1e-06,0.999999,0,0.666667,0.9,0.666667,1.0,0,0.707107,1,1,1.0,0.283654,0,0,0,8,3,9
LED-000008,STL-000008-0,1,one_to_one,0,0,6.94,3.6e-05,0.999964,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.381,0,0,0,20,20,38
LED-000008,STL-000431-0,1,one_to_one,0,0,1001.92,0.005259,0.994741,6,0.228571,0.382716,0.285714,0.285714,0,0.0,0,0,0.230769,0.184812,0,0,0,20,20,38
LED-000009,STL-000009-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.308021,0,1,0,20,29,47
LED-000011,STL-000011-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.64,0.894118,0.64,1.0,0,0.632456,1,1,1.0,0.280224,0,0,0,19,31,48
LED-000012,STL-000012-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.313545,0,0,0,47,49,94
LED-000012,STL-000176-0,1,one_to_one,0,0,438.89,0.008176,1.008176,1,0.26087,0.549074,0.304348,0.304348,0,-0.108465,0,0,0.307692,0.187251,0,0,0,47,67,112
LED-000013,STL-000013-0,1,one_to_one,0,0,169.55,0.011086,0.988914,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.196419,0,0,0,8,10,16
LED-000014,STL-000346-0,1,one_to_one,0,0,8617.48,0.041226,1.041226,0,0.307692,0.617949,0.358974,0.358974,0,0.065372,0,0,0.0,0.044544,0,1,0,21,15,34
LED-000014,STL-000014-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.666667,0.9,0.666667,1.0,0,0.707107,1,1,1.0,0.192879,0,0,0,21,17,36
LED-000014,STL-000257-0,1,one_to_one,0,0,8716.01,0.041697,0.958303,3,0.25,0.584749,0.25,0.25,0,-0.104828,0,0,0.230769,0.169031,0,0,0,21,26,45
LED-000015,STL-000015-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.833333,0.895305,0.75,0.75,0,0.657794,1,1,1.0,0.329541,0,0,0,21,31,50
LED-000016,STL-000016-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.186339,0,0,0,15,19,32
LED-000016,STL-000187-0,1,one_to_one,0,0,422.38,0.020945,0.979055,5,0.181818,0.486111,0.181818,0.0,0,0.0,0,0,0.230769,0.129099,0,0,0,15,21,34
LED-000017,STL-000017-0,1,one_to_one,0,0,0.0,0.0,1.0,1,0.692308,0.905882,0.692308,0.714286,0,0.68313,1,1,1.0,0.163956,0,0,0,12,24,34
LED-000018,STL-000018-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.102899,0,0,0,18,10,26
LED-000018,STL-000288-0,1,one_to_one,0,0,1865.61,0.028092,0.971908,5,0.266667,0.511905,0.133333,0.133333,0,0.182574,0,0,0.230769,-0.0343,0,0,0,18,39,55
LED-000021,STL-000021-0,1,one_to_one,0,0,5.85,0.000639,0.999361,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.20261,0,0,0,21,21,40
LED-000023,STL-000023-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.408248,0,0,0,20,43,61
LED-000024,STL-000024-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.579359,0,0,0,32,11,41
LED-000024,STL-000096-0,1,one_to_one,0,0,3316.31,0.015346,0.984654,5,0.24,0.495098,0.16,0.16,0,0.0,0,0,0.230769,0.191273,0,0,0,32,20,50
LED-000024,STL-000371-0,1,one_to_one,0,0,9429.1,0.043631,0.956369,5,0.380952,0.529412,0.380952,0.380952,0,0.0,0,0,0.230769,0.036811,0,0,0,32,20,50
LED-000025,STL-000025-0,1,one_to_one,0,0,0.29,3e-06,1.000003,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.911014,0,0,0,9,15,22
LED-000026,STL-000026-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.375,0.769231,0.375,0.375,0,0.0,1,1,1.0,0.347183,0,0,0,25,122,145
LED-000027,STL-000027-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.151947,0,0,0,22,26,46
LED-000028,STL-000028-0,1,one_to_one,0,0,3125.62,0.024444,0.975556,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.550973,0,1,0,24,10,32
LED-000028,STL-000555-0,1,one_to_one,0,0,2572.55,0.020119,1.020119,3,0.315789,0.589744,0.315789,0.315789,0,-0.066667,0,0,0.230769,0.742308,0,0,0,24,9,31
LED-000029,STL-000265-0,1,one_to_one,0,0,5782.92,0.037827,1.037827,0,0.186047,0.477513,0.232558,0.232558,0,0.076697,0,0,0.230769,0.178174,0,0,0,23,46,67
