ledger_public_id,settlement_public_id,group_size,relationship_type_candidate,is_potential_one_to_many,is_potential_many_to_one,abs_amount_diff,relative_amount_diff,amount_ratio,date_diff_days,vendor_levenshtein_similarity,vendor_jaro_winkler_similarity,vendor_token_sort_similarity,vendor_token_set_similarity,vendor_exact_normalized_match,vendor_embedding_cosine_similarity,reference_exact_match,reference_substring_overlap,reference_similarity,description_embedding_cosine_similarity,reference_missing_ledger,reference_missing_settlement,reference_both_missing,candidate_count_for_ledger,candidate_count_for_settlement,competing_candidate_count,split,label
LED-000000,STL-000000-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.189525,0,0,0,12,5,15,val,1
LED-000001,STL-000001-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.321288,0,0,0,20,55,73,train,1
LED-000002,STL-000002-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.559085,0,0,0,40,14,52,train,1
LED-000002,STL-000122-0,1,one_to_one,0,0,6518.64,0.043172,0.956828,2,0.292683,0.510582,0.292683,0.292683,0,0.0,0,0,0.0,0.037743,0,1,0,40,57,95,train,0
LED-000002,STL-000029-0,1,one_to_one,0,0,1885.85,0.01249,1.01249,7,0.4,0.635022,0.44,0.6,0,0.412514,0,0,0.230769,0.130744,0,0,0,40,54,92,train,0
LED-000003,STL-000003-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.971429,0.977124,0.914286,1.0,0,0.909241,1,1,1.0,0.332182,0,0,0,7,14,19,val,1
LED-000004,STL-000004-0,1,one_to_one,0,0,24.59,0.0006,0.9994,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.218844,0,0,0,24,29,51,train,1
LED-000005,STL-000005-0,1,one_to_one,0,0,0.1,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.188562,0,0,0,20,15,33,val,1
LED-000006,STL-000006-0,1,one_to_one,0,0,0.26,1e-06,0.999999,0,0.8,0.94,0.8,0.8,0,0.0,1,1,1.0,0.534523,0,0,0,40,42,80,train,1
LED-000007,STL-000007-0,1,one_to_one,0,0,0.25,1e-06,0.999999,0,0.666667,0.9,0.666667,1.0,0,0.707107,1,1,1.0,0.283654,0,0,0,8,3,9,test,1
LED-000008,STL-000008-0,1,one_to_one,0,0,6.94,3.6e-05,0.999964,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.381,0,0,0,20,20,38,train,1
LED-000008,STL-000431-0,1,one_to_one,0,0,1001.92,0.005259,0.994741,6,0.228571,0.382716,0.285714,0.285714,0,0.0,0,0,0.230769,0.184812,0,0,0,20,20,38,train,0
LED-000009,STL-000009-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,0,0.0,0.308021,0,1,0,20,29,47,test,1
LED-000011,STL-000011-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.64,0.894118,0.64,1.0,0,0.632456,1,1,1.0,0.280224,0,0,0,19,31,48,train,1
LED-000012,STL-000012-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,0,1,0.461538,0.313545,0,0,0,47,49,94,test,1
LED-000013,STL-000013-0,1,one_to_one,0,0,169.55,0.011086,0.988914,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.196419,0,0,0,8,10,16,val,1
LED-000014,STL-000346-0,1,one_to_one,0,0,8617.48,0.041226,1.041226,0,0.307692,0.617949,0.358974,0.358974,0,0.065372,0,0,0.0,0.044544,0,1,0,21,15,34,train,0
LED-000014,STL-000014-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.666667,0.9,0.666667,1.0,0,0.707107,1,1,1.0,0.192879,0,0,0,21,17,36,train,1
LED-000014,STL-000257-0,1,one_to_one,0,0,8716.01,0.041697,0.958303,3,0.25,0.584749,0.25,0.25,0,-0.104828,0,0,0.230769,0.169031,0,0,0,21,26,45,train,0
LED-000015,STL-000015-0,1,one_to_one,0,0,0.0,0.0,1.0,0,0.833333,0.895305,0.75,0.75,0,0.657794,1,1,1.0,0.329541,0,0,0,21,31,50,train,1
LED-000016,STL-000016-0,1,one_to_one,0,0,0.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.186339,0,0,0,15,19,32,val,1
LED-000017,STL-000017-0,1,one_to_one,0,0,0.0,0.0,1.0,1,0.692308,0.905882,0.692308,0.714286,0,0.68313,1,1,1.0,0.163956,0,0,0,12,24,34,train,1
LED-000018,STL-000018-0,1,one_to_one,0,0,0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.102899,0,0,0,18,10,26,val,1
LED-000018,STL-000288-0,1,one_to_one,0,0,1865.61,0.028092,0.971908,5,0.266667,0.511905,0.133333,0.133333,0,0.182574,0,0,0.230769,-0.0343,0,0,0,18,39,55,val,0
LED-000021,STL-000021-0,1,one_to_one,0,0,5.85,0.000639,0.999361,1,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,0.20261,0,0,0,21,21,40,train,1
