ledger_id,_gt_txn_id,_split
LED-000000,GT-000000,val
LED-000001,GT-000001,train
LED-000002,GT-000002,train
LED-000003,GT-000003,val
LED-000004,GT-000004,train
LED-000005,GT-000005,val
LED-000006,GT-000006,train
LED-000007,GT-000007,test
LED-000008,GT-000008,train
LED-000009,GT-000009,test
LED-000011,GT-000011,train
LED-000012,GT-000012,test
LED-000013,GT-000013,val
LED-000014,GT-000014,train
LED-000015,GT-000015,train
LED-000016,GT-000016,val
LED-000017,GT-000017,train
LED-000018,GT-000018,val
LED-000021,GT-000021,train
LED-000022,GT-000022,train
LED-000023,GT-000023,train
LED-000024,GT-000024,train
LED-000025,GT-000025,test
LED-000026,GT-000026,val
LED-000027,GT-000027,train
LED-000028,GT-000028,train
LED-000029,GT-000029,train
LED-000030,GT-000030,train
LED-000031,GT-000031,train
LED-000032,GT-000032,train
LED-000033,GT-000033,train
LED-000034,GT-000034,train
LED-000035,GT-000035,test
LED-000036,GT-000036,train
LED-000037,GT-000037,train
LED-000038,GT-000038,val
LED-000039,GT-000039,train
LED-000040,GT-000040,train
LED-000041,GT-000041,train
LED-000042,GT-000042,train
LED-000043,GT-000043,train
LED-000044,GT-000044,train
LED-000045,GT-000045,train
LED-000046,GT-000046,val
LED-000047,GT-000047,train
LED-000048,GT-000048,val
LED-000049,GT-000049,train
LED-000050,GT-000050,val
LED-000051,GT-000051,test
LED-000052,GT-000052,train
LED-000053,GT-000053,train
LED-000054,GT-000054,train
LED-000055,GT-000055,train
LED-000057,GT-000057,train
LED-000058,GT-000058,train
LED-000060,GT-000060,train
LED-000062,GT-000062,train
LED-000063,GT-000063,test
LED-000064,GT-000064,val
LED-000065,GT-000065,train
LED-000066,GT-000066,val
LED-000067,GT-000067,val
LED-000068,GT-000068,train
LED-000069,GT-000069,train
LED-000070,GT-000070,val
LED-000071,GT-000071,train
LED-000072,GT-000072,train
LED-000073,GT-000073,train
LED-000074,GT-000074,val
LED-000076,GT-000076,train
LED-000077,GT-000077,train
LED-000078,GT-000078,test
LED-000079,GT-000079,val
LED-000080,GT-000080,train
LED-000081,GT-000081,train
LED-000082,GT-000082,train
LED-000083,GT-000083,train
LED-000084,GT-000084,train
LED-000085,GT-000085,train
LED-000088,GT-000088,train
LED-000089,GT-000089,train
LED-000090,GT-000090,val
LED-000092,GT-000092,train
LED-000093,GT-000093,train
LED-000094,GT-000094,test
LED-000095,GT-000095,train
LED-000096,GT-000096,train
LED-000097,GT-000097,test
LED-000098,GT-000098,train
LED-000099,GT-000099,train
LED-000100,GT-000100,train
LED-000101,GT-000101,test
LED-000102,GT-000102,train
LED-000103,GT-000103,train
LED-000104,GT-000104,train
LED-000105,GT-000105,test
LED-000106,GT-000106,train
LED-000107,GT-000107,test
LED-000108,GT-000108,test
LED-000109,GT-000109,train
LED-000110,GT-000110,train
LED-000111,GT-000111,train
LED-000112,GT-000112,train
LED-000113,GT-000113,train
LED-000114,GT-000114,train
LED-000115,GT-000115,train
LED-000116,GT-000116,train
LED-000117,GT-000117,test
LED-000118,GT-000118,train
LED-000119,GT-000119,train
LED-000120,GT-000120,val
LED-000121,GT-000121,train
LED-000122,GT-000122,train
LED-000123,GT-000123,train
LED-000124,GT-000124,val
LED-000125,GT-000125,train
LED-000126,GT-000126,train
LED-000127,GT-000127,train
LED-000128,GT-000128,train
LED-000129,GT-000129,train
LED-000130,GT-000130,val
LED-000131,GT-000131,train
LED-000132,GT-000132,test
LED-000133,GT-000133,test
LED-000134,GT-000134,train
LED-000135,GT-000135,train
LED-000136,GT-000136,train
LED-000137,GT-000137,train
LED-000138,GT-000138,train
LED-000139,GT-000139,train
LED-000140,GT-000140,train
LED-000141,GT-000141,val
LED-000142,GT-000142,train
LED-000143,GT-000143,val
LED-000144,GT-000144,test
LED-000145,GT-000145,test
LED-000146,GT-000146,train
LED-000147,GT-000147,train
LED-000148,GT-000148,train
LED-000149,GT-000149,train
LED-000150,GT-000150,val
LED-000151,GT-000151,train
LED-000152,GT-000152,train
LED-000154,GT-000154,val
LED-000155,GT-000155,train
LED-000156,GT-000156,train
LED-000158,GT-000158,train
LED-000160,GT-000160,train
LED-000161,GT-000161,train
LED-000162,GT-000162,test
LED-000163,GT-000163,val
LED-000164,GT-000164,test
LED-000165,GT-000165,train
LED-000166,GT-000166,train
LED-000167,GT-000167,test
LED-000168,GT-000168,train
LED-000169,GT-000169,train
LED-000170,GT-000170,train
LED-000171,GT-000171,train
LED-000172,GT-000172,test
LED-000173,GT-000173,train
LED-000174,GT-000174,val
LED-000176,GT-000176,val
LED-000177,GT-000177,test
LED-000178,GT-000178,test
LED-000179,GT-000179,train
LED-000180,GT-000180,train
LED-000181,GT-000181,train
LED-000182,GT-000182,val
LED-000183,GT-000183,test
LED-000184,GT-000184,train
LED-000185,GT-000185,train
LED-000186,GT-000186,train
LED-000187,GT-000187,train
LED-000188,GT-000188,train
LED-000189,GT-000189,val
LED-000190,GT-000190,train
LED-000191,GT-000191,train
LED-000192,GT-000192,train
LED-000193,GT-000193,train
LED-000195,GT-000195,train
LED-000196,GT-000196,train
LED-000197,GT-000197,test
LED-000198,GT-000198,val
LED-000199,GT-000199,val
LED-000200,GT-000200,train
LED-000202,GT-000202,train
LED-000203,GT-000203,test
LED-000204,GT-000204,train
LED-000205,GT-000205,train
LED-000206,GT-000206,train
LED-000207,GT-000207,train
LED-000208,GT-000208,test
LED-000209,GT-000209,train
LED-000210,GT-000210,train
LED-000211,GT-000211,test
LED-000213,GT-000213,train
LED-000214,GT-000214,train
LED-000215,GT-000215,train
LED-000216,GT-000216,train
LED-000217,GT-000217,val
LED-000218,GT-000218,val
LED-000219,GT-000219,train
LED-000220,GT-000220,train
LED-000221,GT-000221,train
LED-000224,GT-000224,train
LED-000225,GT-000225,train
LED-000226,GT-000226,val
LED-000227,GT-000227,val
LED-000228,GT-000228,train
LED-000229,GT-000229,train
LED-000231,GT-000231,train
LED-000232,GT-000232,train
LED-000234,GT-000234,train
LED-000235,GT-000235,train
LED-000236,GT-000236,train
LED-000237,GT-000237,val
LED-000238,GT-000238,test
LED-000239,GT-000239,train
LED-000242,GT-000242,val
LED-000243,GT-000243,test
