ledger_id,vendor_name,amount,txn_date,reference_id,description
LED-000000,HDFC Bank Limited,6398.94,2026-03-12,RZP2117550026,Subscription charge RZP2117550026
LED-000001,Urban Company Technologies Private Limited,104967.03,2026-04-25,RZP5808631930,Payment for invoice RZP5808631930
LED-000002,Nykaa E-Retail Private Limited,150990.95,2026-01-12,RZP7593586857,Merchant settlement batch RZP7593586857
LED-000003,Mahindra & Mahindra Ltd,246307.6,2026-03-01,RZP8348136760,Payment for invoice RZP8348136760
LED-000004,Wipro Limited,40976.11,2026-04-08,RZP2962370884,Payment for invoice RZP2962370884
LED-000005,Cred Dreamplug Technologies Private Limited,219110.45,2026-03-22,RZP2486117574,Service fee RZP2486117574
LED-000006,Wpiro Limited,249331.85,2026-02-05,RZP5001674039,Order settlement RZP5001674039
LED-000007,Urban Company Technologies Private Limited,215215.81,2026-01-03,RZP6187732107,Vendor payout RZP6187732107
LED-000008,Ola Cabs Private Limited,190526.26,2026-05-10,RZP9826617575,Payment for invoice RZP9826617575
LED-000009,BigBasket Innovative Retail Concepts,5016.26,2026-04-03,RZP8830890407,Payment for invoice RZP8830890407
LED-000010,BigBasket Innovative Retail Concepts,236720.14,2026-02-12,RZP2842572396,Order settlement RZP2842572396
LED-000011,Flipkart Internet Private Limited,30382.9,2026-02-27,RZP0055070003,Order settlement RZP0055070003
LED-000012,BigBasket Innovative Retail Concepts,53677.07,2026-02-03,RZP7852440634,Merchant settlement batch RZP7852440634
LED-000013,HDFC Bank Limited,15294.08,2026-03-28,RZP8115114808,Payment for invoice RZP8115114808
LED-000014,URBANCOMPANY,209031.49,2026-01-24,RZP9814240392,Subscription charge RZP9814240392
LED-000015,Urban Company Technologies Private Limited,165518.55,2026-05-05,RZP1295570558,Payment for invoice RZP1295570558
LED-000016,Ola Cabs Private Limited,20165.85,2026-02-17,RZP0084955006,Merchant settlement batch RZP0084955006
LED-000017,Adani Enterprises Limited,51184.16,2026-03-22,RZP2362370499,Order settlement RZP2362370499
LED-000018,Ola Cabs Private Limited,66410.32,2026-03-31,RZP8831876960,Vendor payout RZP8831876960
LED-000019,HDFC Bank Limited,234741.66,2026-02-04,RZP2871223685,Order settlement RZP2871223685
LED-000020,Tata Consultancy Services,23210.77,2026-04-19,RZP8031914751,Order settlement RZP8031914751
LED-000021,URBANCOMPANY,9151.63,2026-04-05,RZP5113878822,Service fee RZP5113878822
LED-000022,URBANCOMPANY,221051.06,2026-04-15,RZP9792171419,Payment for invoice RZP9792171419
LED-000023,Wipro Limited,66811.41,2026-06-29,RZP1882843720,Merchant settlement batch RZP1882843720
LED-000024,Adani Enterprises Limited,216108.58,2026-03-13,RZP3568308259,Merchant settlement batch RZP3568308259
LED-000025,PhonePe Private Limited,86519.92,2026-03-22,RZP4918104586,Order settlement RZP4918104586
LED-000026,Larsen & Toubro Limited,91150.73,2026-01-18,RZP9966195636,Subscription charge RZP9966195636
LED-000027,PhonePe Private Limited,166282.62,2026-04-08,RZP6963502456,Order settlement RZP6963502456
LED-000028,Larsen & Toubro Limited,127866.82,2026-02-13,RZP6266092381,Order settlement RZP6266092381
LED-000029,BigBasket Innovative Retail Concepts,152876.8,2026-01-19,RZP4857331688,Subscription charge RZP4857331688
LED-000030,Wipro Limited,44095.29,2026-06-28,RZP5028486959,Merchant settlement batch RZP5028486959
LED-000031,Ola Cabs Private Limited,106771.18,2026-05-21,RZP4184782742,Order settlement RZP4184782742
LED-000032,Mahindra & Mahindra Limited,58738.22,2026-03-27,RZP3512670454,Order settlement RZP3512670454
LED-000033,Swiggy Bundl Technologies Private Limited,226223.89,2026-05-30,RZP9085492388,Vendor payout RZP9085492388
LED-000034,URBANCOMPANY,199997.06,2026-02-26,RZP4243677899,Payment for invoice RZP4243677899
LED-000035,Swiggy Bundl Technologies Private Limited,148034.41,2026-06-19,RZP0614032373,Payment for invoice RZP0614032373
LED-000036,PhonePe Private Limited,63180.04,2026-01-21,RZP4709209002,Subscription charge RZP4709209002
LED-000037,Wipro Limited,31686.31,2026-06-21,RZP1942369771,Subscription charge RZP1942369771
LED-000038,Reliance Industries Limited,232232.46,2026-05-28,RZP6937066178,Payment for invoice RZP6937066178
LED-000039,Cred Dreamplug Technologies Private Limited,195691.44,2026-03-30,RZP5606044438,Subscription charge RZP5606044438
LED-000040,PhonePe Private Limited,44157.82,2026-05-14,RZP9285447288,Order settlement RZP9285447288
LED-000041,Flipkart Internet Private Limited,61079.28,2026-04-29,RZP5634343225,Payment for invoice RZP5634343225
LED-000042,Ola Cabs Private Limited,237023.44,2026-01-22,RZP2452474024,Order settlement RZP2452474024
LED-000043,Cred Dreamplug Technologies Private Limited,92349.76,2026-05-22,RZP5473722111,Payment for invoice RZP5473722111
LED-000044,Bharti Airtel Limited,48006.51,2026-05-04,RZP2575982337,Service fee RZP2575982337
LED-000045,Tata Consultancy Services,138406.74,2026-06-28,RZP9671024392,Vendor payout RZP9671024392
LED-000046,Infosys Limited,100266.75,2026-01-19,RZP5618902545,Vendor payout RZP5618902545
LED-000047,Ola Cabs Private Limited,95187.45,2026-04-24,RZP2545090762,Service fee RZP2545090762
LED-000048,Bharti Airtel Limited,138065.26,2026-02-10,RZP0452277469,Order settlement RZP0452277469
LED-000049,Larsen & Toubro Limited,106370.97,2026-05-20,RZP2121075894,Order settlement RZP2121075894
LED-000050,SWIGGY,235677.66,2026-05-09,RZP5458760268,Service fee RZP5458760268
LED-000051,Adani Enterprises Ltd,144125.31,2026-02-14,RZP4691564033,Service fee RZP4691564033
LED-000052,Bharti Airtel Limited,82551.45,2026-06-27,RZP4647002178,Merchant settlement batch RZP4647002178
LED-000053,Urban Company Technologies Pvt Ltd,115574.79,2026-01-14,RZP1376725946,Vendor payout RZP1376725946
LED-000054,Meesho Fashnear Technologies,199858.54,2026-02-10,RZP3042819619,Subscription charge RZP3042819619
LED-000055,Adani Enterprises Ltd,103960.26,2026-05-04,RZP9253958827,Merchant settlement batch RZP9253958827
LED-000056,Ola Cabs Private Limited,66903.09,2026-01-01,RZP2259415355,Service fee RZP2259415355
LED-000057,Larsen & Toubro Limited,245196.54,2026-03-03,RZP5270778368,Order settlement RZP5270778368
LED-000058,Tata Consultancy Services,31692.63,2026-06-01,RZP3180901890,Service fee RZP3180901890
LED-000060,Infosys Limited,108577.77,2026-01-26,RZP7711203034,Vendor payout RZP7711203034
LED-000061,Cred Dreamplug Technologies Private Limited,170497.82,2026-02-16,RZP1086291422,Subscription charge RZP1086291422
LED-000062,FLIPKART,225317.17,2026-06-23,RZP5099296439,Payment for invoice RZP5099296439
LED-000063,Swiggy Bundl Technologies Private Limited,143044.88,2026-05-28,RZP2608308799,Payment for invoice RZP2608308799
LED-000064,Mahindra Mahindra Ltd,193968.88,2026-02-28,RZP6366676869,Subscription charge RZP6366676869
LED-000065,Flipkart Internet Private Limited,8486.13,2026-04-04,RZP7027115959,Service fee RZP7027115959
LED-000066,BigBasket Innovative Retail Concepts,241850.91,2026-03-17,RZP7319198799,Order settlement RZP7319198799
LED-000067,Swiggy Bundl Technologies Private Limited,3627.58,2026-05-18,RZP1372363646,Vendor payout RZP1372363646
LED-000068,Meesho Fashnear Technologies,55458.59,2026-01-17,RZP6476100912,Order settlement RZP6476100912
LED-000069,Flipkart Internet Private Limited,92847.23,2026-06-28,RZP9471404490,Subscription charge RZP9471404490
LED-000070,Flipkart Internet Private Limited,237646.21,2026-04-03,RZP0659331184,Vendor payout RZP0659331184
LED-000071,Fashnear Technologies Ltd,242777.66,2026-01-13,RZP7215072283,Merchant settlement batch RZP7215072283
LED-000072,Meesho Fashnear Technologies,858.46,2026-02-07,RZP9571813750,Order settlement RZP9571813750
LED-000073,PhonePe Private Limited,131592.47,2026-01-17,RZP4751590785,Service fee RZP4751590785
LED-000074,Reliance Industries Limited,15347.23,2026-05-03,RZP8417483116,Service fee RZP8417483116
LED-000075,Zomato Limited,95318.96,2026-06-02,RZP5460786772,Order settlement RZP5460786772
LED-000076,PhonePe Private Limited,84832.06,2026-04-27,RZP3733296400,Payment for invoice RZP3733296400
LED-000077,Nykaa Pvt Ltd,202970.56,2026-05-23,RZP0956489490,Vendor payout RZP0956489490
LED-000078,Nykaa E-Retail Private Limited,26034.6,2026-05-10,RZP2621837588,Service fee RZP2621837588
LED-000079,Meesho Fashnear Technologies,168792.93,2026-05-23,RZP0982173308,Payment for invoice RZP0982173308
LED-000080,Infosy sLimited,35597.38,2026-06-12,RZP9053413395,Subscription charge RZP9053413395
LED-000081,Meesho Fashnear Technologies,12583.16,2026-01-21,RZP2644271426,Service fee RZP2644271426
LED-000082,Mahindra & Mahindra Limited,11497.53,2026-04-12,RZP9029772144,Merchant settlement batch RZP9029772144
LED-000083,Wipro Limited,125140.55,2026-06-21,RZP8080098557,Vendor payout RZP8080098557
