settlement_id,vendor_name,amount,txn_date,reference_id,description
STL-000000-0,HDFC Bank Ltd,6398.94,2026-03-12,RZP2117550026,Payment for invoice RZP211
STL-000001-0,URBAN COMPANY TECHNOLOGIES PRIVATE LIMITED,104967.03,2026-04-25,RZP5808631930,Vendor payout RZP580
STL-000002-0,Nykaa E-Retail Private Limited,150990.95,2026-01-12,RZP759,Order settlement RZP759
STL-000003-0,Mahindr a& Mahindra Limited,246307.6,2026-03-01,RZP8348136760,Vendor payout RZP834
STL-000004-0,WIPRO,40951.52,2026-04-08,RZP2962370884,Vendor payout RZP296
STL-000005-0,Cred Dreamplug Technologies Pvt Ltd,219110.35,2026-03-23,RZP248,Vendor payout RZP248
STL-000006-0,WIPRO LIMITED,249331.59,2026-02-05,RZP5001674039,Merchant settlement batch RZP500
STL-000007-0,Urban Company Pvt Ltd,215215.56,2026-01-03,RZP6187732107,Order settlement RZP618
STL-000008-0,Ola Cabs Private Limited,190519.32,2026-05-11,RZP9826617575,Service fee RZP982
STL-000009-0,BigBasket Innovative Retail Concepts,5016.26,2026-04-03,,Merchant settlement batch RZP883
STL-000011-0,Flipkart Pvt Ltd,30371.67,2026-02-27,RZP0055070003,Payment for invoice RZP005
STL-000012-0,BIGBASKET INNOVATIVE RETAIL CONCEPTS,53677.07,2026-02-03,RZP7852440634,Merchant settlement batch RZP785
STL-000013-0,HDFC Bk,15276.0,2026-03-28,,Order settlement RZP811
STL-000014-0,URBANCOMPANY,209031.49,2026-01-24,,Subscription charge RZP981
STL-000015-0,URBANCOMPANY,165518.18,2026-05-05,RZP129,Service fee RZP129
STL-000016-0,Ola Cabs Private Limited,20165.85,2026-02-17,RZP0084955006,Payment for invoice RZP008
STL-000017-0,Adani Enterprises Limited,50886.23,2026-03-24,,Order settlement RZP236
STL-000018-0,Ola Cabs Private Limited,66410.32,2026-03-31,RZP8831876960,Service fee RZP883
STL-000021-0,Urban Company Technologies Private Lmiited,9129.15,2026-04-05,RZP511,Vendor payout RZP511
STL-000022-0,Urban Company Technologies Private Limited,92804.03,2026-04-15,RZP9792171419,Service fee RZP979
STL-000022-1,Urban Company Technologies Pvt Ltd,128247.03,2026-04-15,RZP9792171419,Payment for invoice RZP979
STL-000023-0,Wipro Ltd,66811.41,2026-06-29,RZP1882843720,Order settlement RZP188
STL-000024-0,Adani Enterprises Limited,216108.87,2026-03-13,RZP356,Merchant settlement batch RZP356
STL-000025-0,PhonePe Pvt Ltd,86519.92,2026-03-22,RZP4918104586,Payment for invoice RZP491
STL-000026-0,Larsen & Toubro Limited,91150.73,2026-01-19,RZP9966195636,Order settlement RZP996
STL-000027-0,PHONEPE,162217.95,2026-04-08,,Merchant settlement batch RZP696
